"","id","stat_id","sitename","lat","long","x","y","stepps-abs_mag","stepps-BC","refab-settlebiomass","refab-second_deriv1000","pol-min_age","pol-max_age","pol-n_ages"
"NA.62",10976,105,"GooseLake",44.99,-94.591,110043.874295035,998434.888206861,0.354996211867445,0.186448414000138,NA,NA,155.534203724446,321.512578386874,5
"NA.63",10977,106,"OlsonLake",46.51205,-93.66005,204551.436350912,1156599.04195553,0,0.16530518906149,NA,NA,516.448249255471,820.415595077606,6
"NA.64",12005,108,"CottonwoodLake",44.6173,-95.68015,18847.3212622951,970076.405813252,0,0.180241873396364,NA,NA,280.255300172782,545.816614409643,3
"NA.65",12007,110,"DeansLake",44.77528,-93.44692,196277.758947598,962692.358610004,0.0729582799903964,0.0606998253847919,NA,NA,181.050642818236,500.167116862068,2
"NA.66",12008,111,"LakeEmily",44.30865,-93.92,152333.976924337,916052.044685713,0,0.0711500466447449,NA,NA,169.526491920282,292.013845481031,4
"NA.67",12010,113,"ChubLake",44.5635,-93.218805,211245.556465023,937044.863335701,0.0540335447380559,0.0452991134714451,NA,NA,172.409791172481,324.840622709313,4
"NA.68",12011,114,"LakeRachel",45.80155,-95.55285,48918.8151761407,1098832.43779926,0,0.165781445732645,NA,NA,172.870795584009,467.715027615252,15
"NA.69",12014,117,"LybeckLake",45.6745,-95.7125,34491.9242388118,1086756.75232056,0,0.176426961809482,NA,NA,162.17670816362,188.259777960568,2
"34",13029,121,"SharkeyLake",44.5924,-93.4132,196353.664564324,942161.938543656,0.0540335447380559,0.0452991134714451,NA,1.56863743251089e-10,313.712801851721,1878.31419528488,4
"35",13032,122,"KimblePond",44.21895,-93.84015,157328.313411382,905317.351926584,0,0.0711500466447449,27.6431399015012,3.51548908078784e-12,177.775027335099,1979.48485824586,15
"NA.70",13051,123,"WestOlafLake",46.5986,-96.18675,14557.6549802265,1194129.09633485,0.256660542497777,0.194396249462014,NA,NA,557.216777885947,1953.27131452281,5
"NA.71",13060,180,"AdelineLake",46.30235,-91.166,392090.017961711,1111623.90980303,0,0.181759124251265,NA,NA,207.072247215118,1963.46543601009,20
"NA.72",13069,181,"ElevensesLake",46.3815,-91.4935,367932.922498393,1122918.95384117,0.0236408731330129,0.153153282254976,NA,NA,274.114350567638,1955.00032482699,18
"NA.73",13071,182,"EskaLake",45.19145,-90.608,423500.653024989,984376.704735822,0.0906342954467231,0.18299155432028,NA,NA,194.700055406927,1925.69377488342,22
